@relation handgrasp_object_detection

@attribute T_y real
@attribute T_p real
@attribute T_r real
@attribute I_y real
@attribute I_p real
@attribute I_r real
@attribute M_y real
@attribute M_p real
@attribute M_r real
@attribute R_y real
@attribute R_p real
@attribute R_r real
@attribute P_y real
@attribute P_p real
@attribute P_r real
@attribute B_y real
@attribute B_p real
@attribute B_r real
@attribute Class {bottle_hold,pen_hold,cup_carry,phone_answer,unleash_pen,screw_driver}

@data
268.34, -16.57, 111.80, 250.56, -14.54, 117.70, 165.42, 25.55, 124.79, 218.16, -14.74, 105.10,275.92, -16.62, 115.65,236.28, -6.84, 20.88,cup_carry
268.36, -16.57, 111.80, 250.56, -14.54, 117.68, 165.50, 25.55, 124.83, 218.13, -14.76, 105.10,275.92, -16.64, 115.65,236.25, -6.90, 20.93,cup_carry
268.36, -16.60, 111.78, 250.55, -14.56, 117.68, 165.55, 25.54, 124.87, 218.13, -14.77, 105.13,275.91, -16.66, 115.65,236.25, -6.89, 20.86,cup_carry
268.37, -16.61, 111.80, 250.57, -14.55, 117.70, 165.57, 25.57, 124.84, 218.12, -14.76, 105.15,275.89, -16.66, 115.67,236.25, -6.77, 20.82,cup_carry
268.37, -16.62, 111.81, 250.54, -14.56, 117.71, 165.56, 25.60, 124.82, 218.05, -14.78, 105.18,275.87, -16.71, 115.65,236.21, -6.78, 20.84,cup_carry
268.35, -16.65, 111.82, 250.49, -14.58, 117.74, 165.54, 25.64, 124.80, 218.01, -14.79, 105.21,275.83, -16.74, 115.68,236.18, -6.76, 20.82,cup_carry
268.35, -16.65, 111.82, 250.45, -14.60, 117.77, 165.57, 25.64, 124.82, 217.99, -14.80, 105.22,275.82, -16.74, 115.69,236.16, -6.78, 20.86,cup_carry
268.33, -16.66, 111.84, 250.42, -14.60, 117.78, 165.61, 25.64, 124.83, 217.97, -14.80, 105.19,275.76, -16.72, 115.73,236.13, -6.82, 20.86,cup_carry
268.31, -16.66, 111.86, 250.41, -14.60, 117.78, 165.64, 25.66, 124.82, 217.96, -14.79, 105.20,275.74, -16.69, 115.74,236.11, -6.81, 20.87,cup_carry
268.32, -16.66, 111.85, 250.41, -14.59, 117.78, 165.70, 25.64, 124.85, 217.98, -14.78, 105.20,275.73, -16.65, 115.73,236.10, -6.80, 20.86,cup_carry
268.34, -16.65, 111.83, 250.41, -14.57, 117.77, 165.76, 25.62, 124.87, 217.98, -14.77, 105.20,275.75, -16.63, 115.70,236.10, -6.76, 20.85,cup_carry
268.39, -16.62, 111.81, 250.44, -14.55, 117.75, 165.85, 25.61, 124.90, 218.00, -14.76, 105.18,275.79, -16.64, 115.66,236.10, -6.76, 20.87,cup_carry
268.43, -16.63, 111.77, 250.45, -14.56, 117.73, 165.91, 25.60, 124.93, 217.99, -14.77, 105.17,275.78, -16.62, 115.65,236.09, -6.78, 20.87,cup_carry
268.45, -16.62, 111.77, 250.45, -14.55, 117.73, 165.93, 25.62, 124.90, 217.97, -14.77, 105.17,275.74, -16.62, 115.66,236.04, -6.81, 20.92,cup_carry
268.43, -16.63, 111.79, 250.42, -14.56, 117.73, 165.98, 25.64, 124.88, 217.96, -14.76, 105.16,275.73, -16.61, 115.67,236.04, -6.79, 20.92,cup_carry
268.45, -16.62, 111.79, 250.46, -14.54, 117.72, 166.05, 25.64, 124.92, 217.96, -14.76, 105.16,275.74, -16.60, 115.66,236.04, -6.81, 20.89,cup_carry
268.47, -16.63, 111.79, 250.44, -14.55, 117.73, 166.09, 25.66, 124.94, 217.95, -14.77, 105.18,275.72, -16.61, 115.68,236.01, -6.80, 20.89,cup_carry
268.46, -16.65, 111.81, 250.41, -14.56, 117.75, 166.12, 25.67, 124.96, 217.93, -14.77, 105.18,275.68, -16.62, 115.70,235.97, -6.83, 20.91,cup_carry
268.44, -16.65, 111.83, 250.40, -14.57, 117.77, 166.16, 25.68, 124.96, 217.93, -14.77, 105.20,275.68, -16.62, 115.71,235.98, -6.77, 20.86,cup_carry
268.46, -16.65, 111.82, 250.40, -14.58, 117.77, 166.22, 25.68, 124.99, 217.91, -14.78, 105.20,275.66, -16.62, 115.72,235.97, -6.77, 20.81,cup_carry
268.46, -16.65, 111.83, 250.39, -14.58, 117.78, 166.27, 25.69, 124.99, 217.91, -14.77, 105.20,275.66, -16.62, 115.72,235.94, -6.79, 20.87,cup_carry
268.47, -16.64, 111.83, 250.38, -14.58, 117.78, 166.33, 25.68, 125.02, 217.90, -14.77, 105.19,275.65, -16.62, 115.71,235.93, -6.81, 20.87,cup_carry
268.47, -16.65, 111.82, 250.37, -14.58, 117.78, 166.39, 25.68, 125.03, 217.90, -14.77, 105.21,275.67, -16.61, 115.69,235.91, -6.80, 20.88,cup_carry
268.50, -16.62, 111.83, 250.39, -14.57, 117.78, 166.42, 25.70, 125.00, 217.89, -14.75, 105.20,275.64, -16.60, 115.70,235.89, -6.78, 20.84,cup_carry
268.48, -16.61, 111.84, 250.35, -14.58, 117.80, 166.44, 25.70, 125.02, 217.87, -14.76, 105.21,275.63, -16.60, 115.71,235.86, -6.80, 20.88,cup_carry
268.49, -16.61, 111.83, 250.36, -14.58, 117.79, 166.49, 25.70, 125.04, 217.87, -14.76, 105.20,275.61, -16.59, 115.71,235.84, -6.86, 20.88,cup_carry
268.49, -16.62, 111.83, 250.36, -14.59, 117.79, 166.58, 25.69, 125.04, 217.92, -14.74, 105.18,275.59, -16.54, 115.73,235.83, -6.82, 20.89,cup_carry
268.52, -16.61, 111.85, 250.40, -14.58, 117.78, 166.65, 25.70, 125.06, 217.94, -14.74, 105.19,275.61, -16.57, 115.70,235.83, -6.82, 20.89,cup_carry
268.55, -16.61, 111.82, 250.42, -14.58, 117.77, 166.70, 25.71, 125.10, 217.92, -14.75, 105.21,275.63, -16.58, 115.67,235.83, -6.86, 20.87,cup_carry
121.23, 10.62, 12.71, 108.45, 2.16, -7.59, 213.97, -0.87, -101.83, 53.61, -17.79, -43.62,127.09, 6.31, -2.18,132.09, 3.18, -93.99,phone_answer
121.22, 10.66, 12.71, 108.45, 2.19, -7.58, 213.95, -0.88, -101.82, 53.52, -17.75, -43.57,127.07, 6.33, -2.15,132.07, 3.20, -93.98,phone_answer
121.20, 10.67, 12.74, 108.43, 2.20, -7.55, 213.92, -0.87, -101.82, 53.45, -17.76, -43.55,127.09, 6.29, -2.06,132.07, 3.18, -93.97,phone_answer
121.21, 10.62, 12.80, 108.46, 2.15, -7.50, 213.98, -0.85, -101.84, 53.50, -17.85, -43.59,127.18, 6.22, -2.07,132.15, 3.13, -94.00,phone_answer
121.27, 10.61, 12.74, 108.51, 2.11, -7.55, 214.04, -0.82, -101.84, 53.50, -17.85, -43.64,127.19, 6.26, -2.22,132.16, 3.15, -94.04,phone_answer
121.25, 10.67, 12.66, 108.49, 2.15, -7.63, 213.99, -0.79, -101.83, 53.42, -17.77, -43.67,127.16, 6.29, -2.31,132.12, 3.17, -94.05,phone_answer
121.19, 10.68, 12.64, 108.46, 2.15, -7.64, 213.96, -0.77, -101.84, 53.37, -17.78, -43.71,127.17, 6.21, -2.24,132.12, 3.17, -94.03,phone_answer
121.20, 10.62, 12.66, 108.46, 2.13, -7.62, 213.97, -0.80, -101.84, 53.34, -17.81, -43.72,127.21, 6.19, -2.21,132.13, 3.19, -93.98,phone_answer
121.21, 10.67, 12.70, 108.44, 2.21, -7.61, 213.95, -0.85, -101.81, 53.29, -17.74, -43.67,127.22, 6.30, -2.23,132.15, 3.24, -93.96,phone_answer
121.21, 10.77, 12.73, 108.45, 2.30, -7.57, 213.90, -0.89, -101.77, 53.18, -17.64, -43.55,127.20, 6.41, -2.17,132.14, 3.26, -93.95,phone_answer
121.20, 10.77, 12.75, 108.47, 2.29, -7.56, 213.90, -0.89, -101.78, 53.15, -17.70, -43.54,127.24, 6.29, -2.16,132.14, 3.26, -93.95,phone_answer
121.21, 10.70, 12.77, 108.48, 2.22, -7.56, 213.89, -0.89, -101.77, 53.11, -17.73, -43.58,127.24, 6.34, -2.11,132.15, 3.28, -93.91,phone_answer
121.22, 10.74, 12.82, 108.49, 2.26, -7.50, 213.92, -0.89, -101.75, 53.06, -17.67, -43.50,127.27, 6.47, -2.10,132.18, 3.30, -93.91,phone_answer
121.25, 10.80, 12.83, 108.51, 2.34, -7.49, 213.91, -0.92, -101.74, 53.03, -17.64, -43.45,127.29, 6.48, -2.14,132.19, 3.31, -93.91,phone_answer
121.27, 10.76, 12.79, 108.53, 2.32, -7.52, 213.88, -0.95, -101.74, 52.98, -17.66, -43.48,127.27, 6.42, -2.11,132.18, 3.31, -93.89,phone_answer
121.26, 10.71, 12.81, 108.54, 2.24, -7.51, 213.88, -0.95, -101.73, 52.94, -17.72, -43.50,127.28, 6.42, -2.08,132.18, 3.33, -93.86,phone_answer
121.26, 10.75, 12.83, 108.52, 2.28, -7.48, 213.86, -0.96, -101.71, 52.85, -17.70, -43.38,127.26, 6.54, -2.07,132.17, 3.38, -93.84,phone_answer
121.23, 10.85, 12.85, 108.47, 2.41, -7.47, 213.80, -0.97, -101.68, 52.75, -17.61, -43.33,127.24, 6.59, -2.09,132.12, 3.43, -93.82,phone_answer
121.20, 10.85, 12.86, 108.46, 2.41, -7.45, 213.73, -0.97, -101.67, 52.66, -17.59, -43.28,127.20, 6.62, -2.00,132.10, 3.43, -93.82,phone_answer
121.20, 10.81, 12.90, 108.46, 2.39, -7.42, 213.74, -0.96, -101.68, 52.61, -17.64, -43.26,127.21, 6.59, -1.96,132.11, 3.41, -93.82,phone_answer
121.22, 10.79, 12.91, 108.46, 2.41, -7.40, 213.74, -0.96, -101.71, 52.58, -17.68, -43.23,127.24, 6.57, -2.01,132.13, 3.39, -93.84,phone_answer
121.23, 10.80, 12.87, 108.46, 2.41, -7.43, 213.74, -0.94, -101.72, 52.53, -17.67, -43.27,127.19, 6.63, -2.03,132.11, 3.39, -93.85,phone_answer
121.22, 10.76, 12.86, 108.46, 2.38, -7.44, 213.72, -0.90, -101.75, 52.47, -17.68, -43.28,127.22, 6.53, -2.05,132.11, 3.35, -93.88,phone_answer
121.24, 10.64, 12.82, 108.49, 2.28, -7.46, 213.74, -0.88, -101.79, 52.45, -17.75, -43.33,127.20, 6.49, -2.06,132.11, 3.32, -93.89,phone_answer
121.24, 10.62, 12.82, 108.50, 2.23, -7.47, 213.74, -0.87, -101.82, 52.42, -17.78, -43.36,127.23, 6.45, -2.09,132.10, 3.30, -93.90,phone_answer
121.23, 10.61, 12.79, 108.50, 2.23, -7.49, 213.74, -0.85, -101.85, 52.39, -17.80, -43.41,127.24, 6.39, -2.13,132.10, 3.27, -93.92,phone_answer
121.22, 10.57, 12.77, 108.49, 2.19, -7.51, 213.72, -0.84, -101.88, 52.36, -17.86, -43.45,127.24, 6.31, -2.15,132.08, 3.25, -93.94,phone_answer
121.22, 10.50, 12.74, 108.48, 2.14, -7.53, 213.71, -0.81, -101.89, 52.29, -17.89, -43.47,127.18, 6.34, -2.15,132.05, 3.25, -93.95,phone_answer
121.19, 10.49, 12.74, 108.45, 2.13, -7.51, 213.72, -0.78, -101.88, 52.24, -17.90, -43.45,127.14, 6.35, -2.12,132.04, 3.24, -93.96,phone_answer
121.17, 10.48, 12.75, 108.44, 2.12, -7.50, 213.73, -0.77, -101.88, 52.21, -17.96, -43.46,127.14, 6.32, -2.13,132.03, 3.23, -93.97,phone_answer
121.16, 10.46, 12.75, 108.42, 2.12, -7.50, 213.69, -0.76, -101.88, 52.14, -17.96, -43.44,127.14, 6.26, -2.12,132.02, 3.22, -93.98,phone_answer
121.14, 10.45, 12.74, 108.42, 2.08, -7.51, 213.70, -0.74, -101.88, 52.08, -17.99, -43.47,127.08, 6.28, -2.11,132.00, 3.21, -93.98,phone_answer
121.10, 10.45, 12.76, 108.41, 2.05, -7.49, 213.71, -0.73, -101.88, 52.04, -18.04, -43.41,127.11, 6.28, -2.12,132.00, 3.24, -93.96,phone_answer
121.07, 10.54, 12.80, 108.41, 2.08, -7.47, 213.68, -0.74, -101.89, 52.00, -18.00, -43.37,127.13, 6.27, -2.10,132.00, 3.23, -93.96,phone_answer
121.08, 10.56, 12.80, 108.44, 2.11, -7.48, 213.65, -0.77, -101.91, 52.00, -18.02, -43.37,127.14, 6.27, -2.12,132.00, 3.23, -93.96,phone_answer
121.05, 10.58, 12.80, 108.43, 2.12, -7.49, 213.60, -0.78, -101.91, 51.95, -18.02, -43.39,127.16, 6.22, -2.08,132.00, 3.22, -93.96,phone_answer
121.06, 10.56, 12.82, 108.45, 2.09, -7.49, 213.63, -0.77, -101.92, 51.95, -18.08, -43.39,127.14, 6.26, -2.10,132.00, 3.21, -93.95,phone_answer
121.05, 10.56, 12.80, 108.46, 2.06, -7.50, 213.60, -0.77, -101.93, 51.90, -18.04, -43.37,127.12, 6.34, -2.08,132.01, 3.21, -93.95,phone_answer
121.06, 10.60, 12.82, 108.48, 2.06, -7.51, 213.60, -0.78, -101.93, 51.89, -18.05, -43.36,127.12, 6.35, -2.12,132.02, 3.21, -93.95,phone_answer
121.06, 10.63, 12.82, 108.46, 2.10, -7.50, 213.57, -0.80, -101.92, 51.85, -18.04, -43.35,127.13, 6.39, -2.09,132.02, 3.23, -93.92,phone_answer
121.07, 10.64, 12.82, 108.46, 2.13, -7.49, 213.57, -0.80, -101.92, 51.81, -18.02, -43.34,127.17, 6.37, -2.12,132.02, 3.24, -93.91,phone_answer
121.09, 10.64, 12.82, 108.45, 2.17, -7.48, 213.55, -0.81, -101.92, 51.78, -18.03, -43.34,127.17, 6.38, -2.10,132.04, 3.24, -93.92,phone_answer
121.09, 10.65, 12.81, 108.46, 2.17, -7.50, 213.53, -0.81, -101.91, 51.73, -18.02, -43.31,127.14, 6.41, -2.09,132.03, 3.24, -93.94,phone_answer
121.07, 10.68, 12.82, 108.45, 2.19, -7.48, 213.53, -0.81, -101.90, 51.68, -18.00, -43.33,127.18, 6.37, -2.11,132.02, 3.26, -93.93,phone_answer
121.08, 10.67, 12.83, 108.45, 2.20, -7.47, 213.53, -0.81, -101.92, 51.64, -18.01, -43.32,127.19, 6.35, -2.08,132.03, 3.23, -93.92,phone_answer
121.10, 10.62, 12.82, 108.46, 2.17, -7.48, 213.53, -0.81, -101.93, 51.62, -18.06, -43.33,127.22, 6.30, -2.10,132.02, 3.23, -93.91,phone_answer
121.11, 10.61, 12.82, 108.41, 2.24, -7.46, 213.51, -0.82, -101.93, 51.58, -18.02, -43.35,127.25, 6.32, -2.10,132.04, 3.23, -93.91,phone_answer
121.13, 10.62, 12.82, 108.40, 2.26, -7.46, 213.52, -0.81, -101.95, 51.57, -18.03, -43.40,127.26, 6.32, -2.11,132.05, 3.22, -93.93,phone_answer
121.12, 10.63, 12.79, 108.42, 2.23, -7.49, 213.50, -0.79, -101.96, 51.50, -18.01, -43.42,127.23, 6.31, -2.14,132.01, 3.23, -93.92,phone_answer
121.07, 10.64, 12.81, 108.41, 2.20, -7.48, 213.49, -0.78, -101.96, 51.45, -18.04, -43.39,127.23, 6.30, -2.07,132.02, 3.22, -93.91,phone_answer
121.09, 10.64, 12.83, 108.43, 2.19, -7.48, 213.52, -0.77, -101.97, 51.44, -18.08, -43.41,127.28, 6.25, -2.07,132.05, 3.20, -93.93,phone_answer
121.10, 10.64, 12.80, 108.43, 2.19, -7.49, 213.50, -0.77, -101.98, 51.43, -18.07, -43.44,127.25, 6.31, -2.10,132.04, 3.21, -93.95,phone_answer
121.08, 10.68, 12.78, 108.42, 2.20, -7.52, 213.46, -0.78, -101.99, 51.37, -18.04, -43.42,127.23, 6.35, -2.07,132.03, 3.20, -93.95,phone_answer
121.09, 10.62, 12.78, 108.44, 2.17, -7.52, 213.46, -0.77, -102.01, 51.36, -18.08, -43.46,127.24, 6.29, -2.07,132.03, 3.19, -93.95,phone_answer
121.10, 10.62, 12.79, 108.45, 2.14, -7.52, 213.46, -0.77, -102.02, 51.31, -18.09, -43.44,127.25, 6.27, -2.06,132.04, 3.19, -93.95,phone_answer
121.10, 10.64, 12.80, 108.46, 2.14, -7.52, 213.45, -0.77, -102.03, 51.27, -18.11, -43.41,127.25, 6.28, -2.06,132.04, 3.18, -93.95,phone_answer
121.10, 10.65, 12.80, 108.46, 2.12, -7.53, 213.43, -0.78, -102.04, 51.21, -18.11, -43.40,127.22, 6.31, -2.04,132.03, 3.18, -93.95,phone_answer
121.09, 10.62, 12.79, 108.44, 2.14, -7.56, 213.43, -0.77, -102.05, 51.19, -18.11, -43.43,127.22, 6.30, -2.07,132.03, 3.18, -93.94,phone_answer
121.09, 10.61, 12.79, 108.39, 2.17, -7.55, 213.42, -0.77, -102.05, 51.12, -18.08, -43.46,127.21, 6.34, -2.03,132.02, 3.20, -93.92,phone_answer
121.09, 10.65, 12.82, 108.41, 2.17, -7.54, 213.42, -0.77, -102.04, 51.07, -18.10, -43.38,127.23, 6.33, -2.03,132.02, 3.20, -93.91,phone_answer
121.10, 10.64, 12.83, 108.40, 2.20, -7.52, 213.40, -0.78, -102.04, 51.02, -18.08, -43.37,127.27, 6.26, -2.03,132.02, 3.19, -93.91,phone_answer
121.12, 10.60, 12.82, 108.41, 2.19, -7.51, 213.40, -0.79, -102.03, 51.00, -18.10, -43.36,127.27, 6.23, -2.04,132.02, 3.18, -93.92,phone_answer
121.11, 10.60, 12.81, 108.44, 2.15, -7.51, 213.38, -0.78, -102.04, 50.98, -18.10, -43.39,127.29, 6.19, -2.04,132.02, 3.18, -93.93,phone_answer
121.09, 10.62, 12.81, 108.41, 2.18, -7.50, 213.39, -0.77, -102.03, 50.95, -18.10, -43.38,127.31, 6.20, -2.01,132.03, 3.18, -93.93,phone_answer
121.11, 10.62, 12.82, 108.41, 2.22, -7.49, 213.41, -0.77, -102.02, 50.92, -18.08, -43.36,127.33, 6.17, -2.04,132.03, 3.18, -93.94,phone_answer
121.13, 10.60, 12.80, 108.46, 2.15, -7.52, 213.39, -0.78, -102.03, 50.90, -18.11, -43.35,127.34, 6.16, -2.08,132.02, 3.19, -93.94,phone_answer
121.12, 10.57, 12.76, 108.47, 2.11, -7.54, 213.36, -0.79, -102.04, 50.89, -18.11, -43.38,127.34, 6.20, -2.05,132.03, 3.18, -93.94,phone_answer
121.11, 10.60, 12.77, 108.44, 2.18, -7.53, 213.34, -0.80, -102.04, 50.85, -18.12, -43.33,127.34, 6.24, -2.03,132.04, 3.17, -93.94,phone_answer
121.12, 10.62, 12.78, 108.47, 2.15, -7.54, 213.34, -0.81, -102.05, 50.83, -18.11, -43.35,127.34, 6.22, -2.06,132.04, 3.15, -93.94,phone_answer
121.12, 10.60, 12.77, 108.47, 2.14, -7.54, 213.33, -0.81, -102.05, 50.78, -18.13, -43.32,127.34, 6.20, -2.08,132.03, 3.16, -93.94,phone_answer
121.10, 10.60, 12.77, 108.48, 2.10, -7.53, 213.32, -0.80, -102.05, 50.71, -18.11, -43.31,127.31, 6.25, -2.03,132.01, 3.17, -93.93,phone_answer
121.08, 10.61, 12.79, 108.49, 2.09, -7.54, 213.32, -0.81, -102.06, 50.68, -18.13, -43.30,127.32, 6.21, -2.03,132.01, 3.15, -93.92,phone_answer
121.09, 10.57, 12.79, 108.46, 2.11, -7.52, 213.31, -0.82, -102.07, 50.67, -18.16, -43.33,127.33, 6.20, -2.01,132.01, 3.17, -93.91,phone_answer
121.10, 10.57, 12.81, 108.44, 2.14, -7.51, 213.30, -0.82, -102.07, 50.63, -18.15, -43.32,127.34, 6.21, -2.01,132.01, 3.18, -93.91,phone_answer
121.09, 10.60, 12.81, 108.44, 2.16, -7.51, 213.31, -0.81, -102.06, 50.60, -18.17, -43.29,127.31, 6.25, -2.04,131.99, 3.19, -93.92,phone_answer
121.07, 10.59, 12.80, 108.41, 2.17, -7.52, 213.27, -0.81, -102.06, 50.55, -18.16, -43.31,127.29, 6.22, -2.00,131.98, 3.19, -93.92,phone_answer
121.07, 10.59, 12.83, 108.43, 2.14, -7.50, 213.28, -0.81, -102.07, 50.53, -18.19, -43.33,127.31, 6.18, -1.99,132.01, 3.16, -93.93,phone_answer
121.08, 10.59, 12.82, 108.45, 2.11, -7.50, 213.27, -0.81, -102.07, 50.49, -18.20, -43.29,127.32, 6.19, -2.01,132.01, 3.17, -93.91,phone_answer
121.09, 10.61, 12.83, 108.44, 2.15, -7.49, 213.25, -0.81, -102.06, 50.44, -18.17, -43.23,127.32, 6.22, -2.03,132.01, 3.17, -93.92,phone_answer
121.08, 10.62, 12.81, 108.46, 2.12, -7.52, 213.23, -0.80, -102.07, 50.42, -18.17, -43.26,127.33, 6.17, -2.03,132.00, 3.17, -93.93,phone_answer
121.07, 10.61, 12.82, 108.44, 2.13, -7.52, 213.21, -0.80, -102.07, 50.37, -18.17, -43.28,127.35, 6.13, -2.02,132.00, 3.18, -93.92,phone_answer
121.07, 10.61, 12.84, 108.44, 2.14, -7.51, 213.22, -0.80, -102.07, 50.35, -18.18, -43.24,127.39, 6.11, -2.02,132.01, 3.18, -93.90,phone_answer
121.08, 10.63, 12.84, 108.43, 2.16, -7.51, 213.23, -0.80, -102.06, 50.32, -18.15, -43.25,127.39, 6.14, -2.05,132.00, 3.20, -93.91,phone_answer
121.07, 10.62, 12.83, 108.45, 2.13, -7.52, 213.21, -0.78, -102.05, 50.28, -18.14, -43.24,127.36, 6.19, -2.03,131.99, 3.21, -93.90,phone_answer
121.07, 10.62, 12.83, 108.46, 2.12, -7.52, 213.18, -0.79, -102.04, 50.23, -18.13, -43.21,127.35, 6.19, -2.01,131.98, 3.21, -93.91,phone_answer
121.08, 10.57, 12.83, 108.45, 2.12, -7.51, 213.18, -0.80, -102.04, 50.23, -18.18, -43.22,127.35, 6.18, -2.02,131.98, 3.21, -93.91,phone_answer
121.09, 10.56, 12.84, 108.45, 2.13, -7.49, 213.16, -0.80, -102.03, 50.18, -18.17, -43.18,127.36, 6.19, -2.00,131.98, 3.21, -93.90,phone_answer
121.08, 10.60, 12.86, 108.44, 2.18, -7.48, 213.16, -0.80, -102.04, 50.13, -18.18, -43.17,127.33, 6.23, -1.97,131.98, 3.22, -93.89,phone_answer
121.08, 10.59, 12.88, 108.45, 2.16, -7.47, 213.14, -0.79, -102.04, 50.08, -18.17, -43.19,127.32, 6.23, -1.99,131.97, 3.21, -93.90,phone_answer
121.06, 10.59, 12.88, 108.47, 2.13, -7.47, 213.12, -0.79, -102.06, 50.03, -18.15, -43.19,127.32, 6.22, -1.97,131.97, 3.20, -93.90,phone_answer
121.07, 10.57, 12.87, 108.50, 2.07, -7.49, 213.12, -0.79, -102.08, 50.03, -18.16, -43.22,127.33, 6.24, -1.99,131.97, 3.20, -93.90,phone_answer
121.07, 10.60, 12.89, 108.51, 2.07, -7.48, 213.13, -0.78, -102.07, 50.01, -18.15, -43.22,127.36, 6.22, -2.00,132.00, 3.19, -93.92,phone_answer
121.09, 10.58, 12.86, 108.51, 2.09, -7.50, 213.13, -0.79, -102.08, 49.99, -18.18, -43.24,127.35, 6.21, -2.02,131.99, 3.19, -93.93,phone_answer
121.08, 10.59, 12.84, 108.50, 2.11, -7.52, 213.10, -0.80, -102.09, 49.95, -18.19, -43.22,127.33, 6.22, -2.02,131.98, 3.19, -93.93,phone_answer
121.06, 10.59, 12.84, 108.52, 2.06, -7.53, 213.09, -0.80, -102.10, 49.95, -18.21, -43.24,127.37, 6.15, -2.04,131.99, 3.18, -93.93,phone_answer
121.07, 10.59, 12.85, 108.52, 2.05, -7.52, 213.07, -0.80, -102.10, 49.92, -18.21, -43.20,127.39, 6.18, -2.02,131.99, 3.19, -93.92,phone_answer
121.08, 10.60, 12.86, 108.52, 2.10, -7.51, 213.09, -0.79, -102.10, 49.89, -18.19, -43.21,127.42, 6.16, -2.06,131.99, 3.19, -93.93,phone_answer
121.09, 10.59, 12.83, 108.54, 2.07, -7.53, 213.09, -0.78, -102.11, 49.86, -18.20, -43.23,127.40, 6.17, -2.05,131.98, 3.18, -93.93,phone_answer
121.07, 10.58, 12.84, 108.51, 2.08, -7.53, 213.07, -0.78, -102.11, 49.82, -18.19, -43.26,127.42, 6.12, -2.03,131.97, 3.19, -93.92,phone_answer
121.07, 10.57, 12.84, 108.52, 2.06, -7.52, 213.07, -0.78, -102.12, 49.80, -18.22, -43.28,127.46, 6.06, -2.03,131.99, 3.18, -93.93,phone_answer
121.08, 10.56, 12.83, 108.51, 2.06, -7.52, 213.07, -0.77, -102.12, 49.76, -18.23, -43.26,127.45, 6.13, -2.05,131.98, 3.18, -93.93,phone_answer
121.08, 10.58, 12.84, 108.49, 2.10, -7.50, 213.06, -0.75, -102.12, 49.74, -18.21, -43.23,127.46, 6.13, -2.07,131.98, 3.19, -93.94,phone_answer
121.07, 10.57, 12.81, 108.50, 2.09, -7.54, 213.04, -0.75, -102.13, 49.71, -18.19, -43.25,127.45, 6.11, -2.04,131.98, 3.18, -93.93,phone_answer
121.08, 10.54, 12.79, 108.53, 2.08, -7.55, 213.00, -0.77, -102.16, 49.73, -18.19, -43.30,127.45, 6.13, -2.04,132.01, 3.17, -93.94,phone_answer
121.09, 10.55, 12.78, 108.55, 2.06, -7.56, 212.97, -0.79, -102.19, 49.72, -18.17, -43.35,127.47, 6.13, -2.09,132.02, 3.16, -93.94,phone_answer
121.08, 10.57, 12.77, 108.57, 2.04, -7.58, 212.94, -0.78, -102.21, 49.67, -18.18, -43.35,127.45, 6.13, -2.10,132.02, 3.16, -93.95,phone_answer
121.06, 10.58, 12.76, 108.59, 2.01, -7.59, 212.93, -0.75, -102.21, 49.61, -18.19, -43.34,127.45, 6.13, -2.07,132.01, 3.16, -93.94,phone_answer
121.05, 10.59, 12.79, 108.60, 1.97, -7.58, 212.94, -0.74, -102.22, 49.56, -18.19, -43.32,127.47, 6.15, -2.06,132.01, 3.15, -93.93,phone_answer
121.06, 10.61, 12.79, 108.60, 2.00, -7.57, 212.93, -0.73, -102.23, 49.53, -18.18, -43.30,127.47, 6.16, -2.03,132.01, 3.15, -93.92,phone_answer
121.05, 10.61, 12.78, 108.62, 1.98, -7.58, 212.93, -0.74, -102.23, 49.50, -18.19, -43.30,127.46, 6.19, -2.05,132.08, 3.15, -93.96,phone_answer
121.04, 10.58, 12.81, 108.57, 2.04, -7.57, 212.93, -0.72, -102.24, 49.47, -18.17, -43.33,127.50, 6.13, -2.03,132.08, 3.14, -93.97,phone_answer
121.03, 10.59, 12.81, 108.57, 2.01, -7.59, 212.95, -0.71, -102.25, 49.46, -18.19, -43.34,127.52, 6.10, -2.05,132.07, 3.14, -93.98,phone_answer
121.03, 10.59, 12.81, 108.54, 2.06, -7.58, 212.95, -0.69, -102.25, 49.42, -18.20, -43.32,127.50, 6.11, -2.04,132.08, 3.12, -93.99,phone_answer
121.03, 10.58, 12.80, 108.54, 2.05, -7.59, 212.94, -0.68, -102.23, 49.36, -18.22, -43.32,127.49, 6.09, -2.04,132.05, 3.15, -93.97,phone_answer
121.00, 10.58, 12.82, 108.51, 2.05, -7.55, 212.87, -0.70, -102.23, 49.30, -18.24, -43.29,127.46, 6.14, -1.95,132.04, 3.15, -93.95,phone_answer
121.01, 10.58, 12.84, 108.51, 2.05, -7.52, 212.86, -0.71, -102.22, 49.27, -18.28, -43.20,127.45, 6.16, -1.93,132.05, 3.13, -93.96,phone_answer
121.04, 10.54, 12.83, 108.53, 2.02, -7.53, 212.90, -0.68, -102.23, 49.25, -18.30, -43.23,127.46, 6.12, -1.98,132.04, 3.13, -93.98,phone_answer
121.01, 10.57, 12.81, 108.50, 2.04, -7.52, 212.90, -0.65, -102.21, 49.19, -18.27, -43.21,127.44, 6.13, -1.96,132.03, 3.14, -93.99,phone_answer
121.00, 10.57, 12.82, 108.52, 2.02, -7.51, 212.91, -0.63, -102.21, 49.17, -18.32, -43.16,127.44, 6.11, -1.96,132.03, 3.13, -94.00,phone_answer
