@relation handgrasp_object_detection

@attribute T_y real
@attribute T_p real
@attribute T_r real
@attribute I_y real
@attribute I_p real
@attribute I_r real
@attribute M_y real
@attribute M_p real
@attribute M_r real
@attribute R_y real
@attribute R_p real
@attribute R_r real
@attribute P_y real
@attribute P_p real
@attribute P_r real
@attribute B_y real
@attribute B_p real
@attribute B_r real
@attribute Class {bottle_hold,pen_hold,cup_carry,phone_answer,unleash_pen,screw_driver}

@data
243.25, 75.26, -15.49, 228.38, 67.67, -4.40, 203.01, -27.98, 4.99, 248.95, 58.39, 3.80,234.65, 78.94, -49.52,247.32, 63.78, -64.34,bottle_hold
243.28, 75.25, -15.40, 228.22, 67.68, -4.46, 202.99, -28.03, 4.94, 248.90, 58.38, 3.81,234.55, 78.98, -49.57,247.32, 63.76, -64.34,bottle_hold
243.22, 75.27, -15.38, 228.24, 67.71, -4.31, 202.99, -28.04, 4.94, 248.84, 58.38, 3.79,234.65, 78.98, -49.43,247.34, 63.75, -64.33,bottle_hold
243.22, 75.29, -15.33, 228.17, 67.72, -4.29, 202.98, -28.05, 4.93, 248.78, 58.43, 3.77,234.69, 78.98, -49.39,247.34, 63.75, -64.32,bottle_hold
243.19, 75.29, -15.29, 228.16, 67.74, -4.17, 202.97, -28.07, 4.91, 248.72, 58.46, 3.75,234.70, 78.97, -49.36,247.31, 63.76, -64.36,bottle_hold
242.98, 75.32, -15.43, 228.13, 67.72, -4.04, 202.95, -28.09, 4.89, 248.67, 58.41, 3.75,234.82, 78.95, -49.21,247.27, 63.77, -64.40,bottle_hold
242.86, 75.36, -15.48, 227.90, 67.72, -4.16, 202.94, -28.10, 4.88, 248.61, 58.40, 3.73,234.69, 78.95, -49.33,247.25, 63.78, -64.43,bottle_hold
242.74, 75.37, -15.54, 227.80, 67.74, -4.17, 202.92, -28.11, 4.87, 248.63, 58.33, 3.87,234.53, 78.98, -49.48,247.26, 63.78, -64.43,bottle_hold
242.70, 75.38, -15.51, 227.78, 67.75, -4.06, 202.89, -28.13, 4.86, 248.57, 58.36, 3.85,234.46, 78.99, -49.51,247.23, 63.78, -64.45,bottle_hold
242.56, 75.39, -15.59, 227.61, 67.78, -4.10, 202.89, -28.14, 4.86, 248.50, 58.42, 3.83,234.59, 78.97, -49.37,247.24, 63.78, -64.45,bottle_hold
242.45, 75.40, -15.67, 227.41, 67.81, -4.18, 202.87, -28.18, 4.84, 248.45, 58.43, 3.82,234.70, 78.96, -49.26,247.27, 63.78, -64.41,bottle_hold
242.30, 75.43, -15.75, 227.39, 67.82, -4.08, 202.84, -28.19, 4.84, 248.43, 58.39, 3.85,234.83, 78.94, -49.08,247.27, 63.78, -64.41,bottle_hold
242.14, 75.44, -15.86, 227.25, 67.81, -4.09, 202.81, -28.17, 4.82, 248.38, 58.40, 3.85,234.96, 78.92, -48.92,247.27, 63.79, -64.41,bottle_hold
242.17, 75.47, -15.75, 227.09, 67.84, -4.11, 202.78, -28.17, 4.81, 248.39, 58.33, 3.98,235.15, 78.89, -48.71,247.28, 63.80, -64.40,bottle_hold
242.03, 75.49, -15.83, 226.99, 67.88, -4.06, 202.76, -28.16, 4.80, 248.30, 58.36, 3.91,234.99, 78.88, -48.85,247.26, 63.82, -64.43,bottle_hold
241.93, 75.49, -15.88, 226.94, 67.88, -4.03, 202.75, -28.16, 4.78, 248.28, 58.29, 3.94,234.79, 78.90, -49.00,247.23, 63.83, -64.46,bottle_hold
241.92, 75.49, -15.79, 226.76, 67.90, -4.08, 202.72, -28.15, 4.77, 248.21, 58.27, 3.91,234.67, 78.91, -49.08,247.21, 63.83, -64.48,bottle_hold
